epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.094,1.78045,2.23926,1.69252,0.52666,0.48006,0.49685,0.21514,1.78485,1.58251,1.87879,0.00332685,0.00332685,0.00332685
2,630.557,1.77097,1.77809,1.65648,0.46052,0.38671,0.35649,0.15295,1.92376,1.87989,2.0492,0.00659425,0.00659425,0.00659425
3,939.151,1.94846,2.08053,1.81705,0.39601,0.28235,0.26795,0.10535,2.08247,2.33497,2.17668,0.00979564,0.00979564,0.00979564
4,1245.26,1.97613,2.19408,1.86554,0.39471,0.33897,0.32492,0.13566,1.97607,2.06025,2.12935,0.009703,0.009703,0.009703
5,1551.15,1.924,2.06832,1.84701,0.39754,0.36688,0.33821,0.13683,1.98829,2.06858,2.17983,0.009604,0.009604,0.009604
6,1856.69,1.8801,1.96859,1.81209,0.48686,0.43507,0.42081,0.18475,1.82851,1.68858,1.99197,0.009505,0.009505,0.009505
7,2161.79,1.83486,1.87707,1.78846,0.53431,0.4698,0.45665,0.20542,1.82088,1.55999,1.99641,0.009406,0.009406,0.009406
8,2467.07,1.78797,1.80051,1.75006,0.59984,0.49156,0.513,0.23916,1.73579,1.45005,1.96046,0.009307,0.009307,0.009307
9,2773.14,1.77979,1.73797,1.7426,0.58249,0.50444,0.51716,0.23123,1.79129,1.49739,1.97328,0.009208,0.009208,0.009208
10,3079.22,1.7475,1.70695,1.72598,0.64369,0.49947,0.54849,0.25574,1.72177,1.39583,1.92942,0.009109,0.009109,0.009109
11,3385.5,1.71652,1.63193,1.70006,0.61128,0.52935,0.55084,0.27194,1.68153,1.38785,1.8885,0.00901,0.00901,0.00901
12,3691.92,1.6962,1.60057,1.6941,0.67357,0.53944,0.59682,0.29251,1.6738,1.30888,1.84231,0.008911,0.008911,0.008911
13,3997.99,1.68844,1.57576,1.67607,0.65931,0.55217,0.59774,0.30001,1.65042,1.24808,1.84755,0.008812,0.008812,0.008812
